user query,satisfaction rate,realism score
I want a 1-day trip to South Korea with the budget of 5000.,70,60
I want a 5-day trip to Iceland with the budget of 1000.,60,80
I want a 1-day trip to South Korea with the budget of 500.,60,60
I want a 10-day trip to China with the budget of 10000.,90,90
I want a 1-day trip to Japan with the budget of 1000.,60,70
I want a 7-day trip to China with the budget of 5000.,10,90
I want a 1-day trip to Norway with the budget of 1000.,80,80
I want a 3-day trip to South Korea with the budget of 10000.,80,80
I want a 10-day trip to Norway with the budget of 10000.,90,80
I want a 10-day trip to Japan with the budget of 5000.,100,70
I want a 7-day trip to China with the budget of 1000.,100,70
I want a 5-day trip to Iceland with the budget of 1675,100,80
I want a 7-day trip to Norway with the budget of 5066,100,90
I want a 17-day trip to Norway with the budget of 4586,100,90
I want a 5-day trip to Ireland with the budget of 1205,100,95
I want a 8-day trip to Scotland with the budget of 2944,100,95
I want a 10-day trip to Scotland with the budget of 3321,100,95
I want a 8-day trip to Sweden with the budget of 1705,100,90
I want a 5-day trip to Santorini with the budget of 2000,100,95
I want a 7-day trip to Italy with the budget of 2500,100,95